x,pi_x,pnt_approximation,li_approximation,pi_x_over_x_ln_x
1000,168,144.76482730108395,174.4244522641635,1.1605028868689988
2000,303,263.12664984790376,310.448516718873,1.1515367226206255
3000,430,374.70175765118626,437.57360653341243,1.147579351363202
4000,550,482.27345790889126,559.5133353578335,1.1404318255140289
5000,669,587.047855746548,677.8586036705806,1.1396004490114926
6000,783,689.6936408130603,793.4846425616589,1.13528667464143
7000,900,790.6329934077548,906.9408111002997,1.1383284121762436
8000,1007,890.1552018542242,1018.6017821500024,1.131263399800826
9000,1117,988.4700616613109,1128.7382141696494,1.1300291666119562
10000,1229,1085.7362047581294,1237.554077397186,1.131950831715873
11000,1335,1182.0774849422326,1345.2081617513727,1.1293675896933615
12000,1438,1277.5930924590687,1451.8273100699573,1.1255539877976215
13000,1547,1372.3641239679332,1557.5149890384703,1.127251851736797
14000,1652,1466.4580288705238,1662.3570747630038,1.1265238878144928
15000,1754,1559.931721899643,1766.4258934590557,1.1244081874711964
16000,1862,1652.8338247050283,1869.783125261986,1.1265500331422007
17000,1960,1745.2063196049435,1972.4819423791198,1.1230763824208927
18000,2064,1837.0857953006116,2074.5686167984536,1.1235185668953787
19000,2158,1928.5044023858375,2176.083751409696,1.1190018531097172
20000,2262,2019.490598024563,2277.063237991789,1.120084442191836
21000,2360,2110.0697345643907,2377.5390133332435,1.118446448163101
22000,2464,2200.2645306887694,2477.539663638817,1.1198653460221308
23000,2564,2290.0954528366183,2577.0909131960307,1.1196039871718495
24000,2668,2379.5810271481655,2676.2160235479205,1.1212057793205275
25000,2762,2468.7380969663764,2774.9361226182255,1.1187902043533855
26000,2860,2557.582037199465,2873.270478398993,1.1182436998703982
27000,2961,2646.1269341568545,2971.23672831734,1.118993938566849
28000,3055,2734.3857374955724,3068.8510728387764,1.1172527555669884
29000,3153,2822.3703894462633,3166.1284399649503,1.1171460740199322
30000,3245,2910.0919353843506,3263.0826258568786,1.1150850461263577
31000,3340,2997.560618972849,3359.7264157311347,1.1142393514445394
32000,3432,3084.78596445901,3456.071688345155,1.1125569292461048
33000,3538,3171.77684820745,3552.1295067439287,1.1154630887729455
34000,3638,3258.5415611617796,3647.9101974372174,1.116450390985018
35000,3732,3345.0878636187326,3743.4234197801525,1.115665761903995
36000,3824,3431.4230334540293,3838.678227015325,1.1144064613189961
37000,3923,3517.5539087434267,3933.6831201830055,1.1152636467770327
38000,4017,3603.486925564529,4028.446095903441,1.1147535936655826
39000,4107,3689.2281516370867,4122.974688871188,1.1132409900367717
40000,4203,3774.7833163550968,4217.276009767637,1.1134413945800699
41000,4291,3860.157837678452,4311.3567791882315,1.1116125765936717
42000,4392,3945.3568462813128,4405.223358090605,1.1132072892569072
43000,4494,4030.385207295832,4498.881775194921,1.1150298963644787
44000,4579,4115.247539941182,4592.3377517055105,1.1126912671857028
45000,4675,4199.948235287042,4685.596723670767,1.1131089570870607
46000,4761,4284.491472366451,4778.663862254528,1.1112170559112724
47000,4851,4368.881232824057,4871.544092155342,1.1103529122178264
48000,4946,4453.121314261282,4964.2421083787085,1.1106816210374184
49000,5035,4537.21534241911,5056.762391540958,1.1097114904216747
50000,5133,4621.166782321471,5149.109221860716,1.1107584386775597
51000,5222,4704.978948486961,5241.286691974598,1.1098880690378656
52000,5319,4788.655014303552,5333.298718697093,1.110750301308473
53000,5408,4872.198020649751,5425.149053830338,1.1099713059853826
54000,5500,4955.610883835858,5516.841294117069,1.109853079453801
55000,5590,5038.896402930575,5608.378890419287,1.1093699002719937
56000,5683,5122.057266530895,5699.765156195948,1.109515123373274
57000,5782,5205.096059026761,5791.0032753447795,1.1108344465560367
58000,5873,5288.015266406439,5882.096309466257,1.1106246302482967
59000,5963,5370.817281643621,5973.047204601614,1.1102593306200048
60000,6057,5453.504409703001,6063.858797491237,1.1106619789695678
61000,6145,5536.078872197271,6154.53382139504,1.10999141122443
62000,6232,5618.542811725119,6245.074911512171,1.1091843933260919
63000,6320,5700.8982959169125,6335.484610033691,1.108597219586692
64000,6413,5783.147321212092,6425.765370858488,1.1089117471515315
65000,6493,5865.291816389979,6515.919563999844,1.1070207933825138
66000,6591,5947.333645873683,6605.949479707376,1.1082277189161733
67000,6675,6029.274612824867,6695.857332326788,1.1070983540543353
68000,6774,6111.116462045592,6785.645263917815,1.1084717566865874
69000,6854,6192.860882701894,6875.3153476488005,1.10675827050222
70000,6935,6274.5095108825035,6964.869590984797,1.1052656766193345
71000,7033,6356.063932004882,7054.309938684492,1.106502400736802
72000,7128,6437.525683079742,7143.638275619988,1.107257718401821
73000,7218,6518.896254844192,7232.856429432209,1.1072426554781116
74000,7301,6600.177093772863,7321.966173033636,1.1061824396936788
75000,7393,6681.369603975538,7410.969226969157,1.1065096586785184
76000,7484,6762.475148989114,7499.867261644775,1.106695379297437
77000,7567,6843.495053471121,7588.661899433312,1.1057215561457747
78000,7662,6924.430604801386,7677.3547166653225,1.106516974072523
79000,7746,7005.283054597974,7765.9472455129535,1.1057369045089263
80000,7837,7086.053620152992,7854.440975773716,1.1059752607165276
81000,7925,7166.7434857934695,7942.837356560739,1.1058021004532408
82000,8017,7247.353804172091,8031.137797905483,1.106196857035577
83000,8106,7327.885697492211,8119.343672278427,1.1061853766051617
84000,8190,7408.340258671249,8207.456316032933,1.1055107775879813
85000,8277,7488.718552446274,8295.477030776987,1.105262528165947
86000,8362,7569.021616425286,8383.407084677256,1.1047662992339589
87000,8450,7649.250462087468,8471.247713699553,1.1046833989658653
88000,8543,7729.406075735449,8559.000122789465,1.1052595653912693
89000,8619,7809.489419402399,8646.665486996762,1.1036572991041387
90000,8713,7889.501431716574,8734.244952546767,1.1043790378150995
91000,8802,7969.443028725778,8821.739637861858,1.1044686521094735
92000,8887,8049.315104684003,8909.150634535838,1.1040690896581422
93000,8984,8129.118532802382,8996.479008263943,1.1051628739017674
94000,9070,8208.854165966448,9083.725799730888,1.104904511229329
95000,9157,8288.522837421544,9170.892025459303,1.1047806924844799
96000,9252,8368.125361428123,9257.978678620726,1.1056239719646161
97000,9336,8447.662533888559,9344.986729811171,1.1051577832977815
98000,9418,8527.135132947005,9431.91712779318,1.1044741115466654
99000,9505,8606.543919563694,9518.770800206115,1.1043922030530755
100000,9592,8685.889638065037,9605.548654246393,1.1043198105999443
